geneIndex;muA;muB;lfc;difExpr;stats;pval;local.fdr;fdr;gene_names
7319;7354,83518816442;11571,7800901385;-0,453186665101358;-4216,94490197407;-3,65320089562899;0,000258991439855416;6,79199764321243e-05;1,20134763009276e-05;FBtr0079216
323;642,63870171993;433,225365785706;0,393948875200251;209,413335934224;3,64910375377305;0,000263156811592724;0,0061291052714081;0,00085606648015415;FBtr0070402
14925;26,2688347200415;10,5416267317058;0,885565948381946;15,7272079883357;3,64406269453988;0,000268368003316866;0,00626947165345884;0,00085606648015415;FBtr0088794
13536;4,71961487586896;14,2274170937371;-1,03728724444352;-9,50780221786814;-3,63156364956491;0,000281709156211729;7,52413539787425e-05;1,20134763009276e-05;FBtr0087032
12871;2485,34869072261;1701,26787550846;0,378946489201152;784,080815214145;3,62942607388807;0,000284052062355045;0,00667702280319108;0,00085606648015415;FBtr0086242
10989;880,379678315186;1429,15641504596;-0,484268382566527;-548,776736730777;-3,62104692820149;0,000293413281810651;8,11677779941274e-05;1,73230468595646e-05;FBtr0083884
16625;929,749805453616;1361,2261383344;-0,381055235222354;-431,476332880789;-3,62025230347557;0,000294315884425966;8,17298623889169e-05;1,73230468595646e-05;FBtr0100559
12872;2454,50804844274;1683,01281338907;0,377247468878447;771,495235053671;3,61358483862048;0,000301992479023072;0,007118115989936;0,00114341523371259;FBtr0086243
13537;156,211569778261;79,7786198723381;0,668903648220928;76,4329499059226;3,60592444385884;0,000311043635834007;0,00733141677614733;0,00114341523371259;FBtr0087033
8545;65,0288239825157;38,274297541965;0,524732514007494;26,7545264405507;3,60213917353836;0,000315609308007003;0,00743681619230077;0,00114341523371259;FBtr0080808
19989;65,0288239825157;38,274297541965;0,524732514007494;26,7545264405507;3,60213917353836;0,000315609308007003;0,00743681619230077;0,00114341523371259;FBtr0300615
3122;623,393576656402;913,868643026265;-0,382254015895173;-290,475066369864;-3,59824803382108;0,000320368017809658;9,72947651513218e-05;1,73230468595646e-05;FBtr0073961
22034;3,02590151051403;13,5661998092646;-1,38363859167833;-10,5402982987506;-3,58752774170553;0,000333828224352128;0,000104877852751279;2,59356151618094e-05;FBtr0303039
14183;45,3019726686011;20,082841759202;0,799869357148669;25,2191309093991;3,58745489239805;0,00033392147676925;0,00791771816377146;0,00158680030979875;FBtr0087855
19037;880,63333555499;581,720881268481;0,414359063365566;298,912454286509;3,58704624179801;0,000334445031307862;0,0079365753846787;0,00158680030979875;FBtr0299527
6827;17,4783864416758;6,42655293276971;0,953808006021622;11,0518335089061;3,57924935210209;0,000344582565007689;0,00829636360320242;0,00158680030979875;FBtr0078606
21672;1,10655452791189;6,26814132128431;-1,43813466183725;-5,16158679337242;-3,57616934532661;0,000348665835650408;0,000112912308697813;2,59356151618094e-05;FBtr0302552
23547;78,3845740006668;41,6899416985137;0,625803851181052;36,694632302153;3,57149720607104;0,00035494633532851;0,00865408712104392;0,00158680030979875;FBtr0305059
503;86,4172248705595;53,0677641072629;0,484008756236075;33,3494607632966;3,56690887032099;0,000361217025580673;0,00886581631177025;0,00158680030979875;FBtr0070615
6349;393,835589396224;265,272070027891;0,394563234645449;128,563519368333;3,56422487490001;0,000364932997981127;0,00898966953641472;0,00158680030979875;FBtr0078029
19662;597,021744742638;406,195509937849;0,384725903397433;190,826234804788;3,55813309310561;0,000373500058930443;0,00927077538822512;0,00158680030979875;FBtr0300265
21042;25,4301407548372;9,59115706279338;0,943746525795608;15,8389836920438;3,55675867069886;0,000375458772307491;0,0093341982412484;0,00158680030979875;FBtr0301749
3282;5239,63931614348;7569,30504416291;-0,36781922834458;-2329,66572801943;-3,55628287023583;0,000376139078249738;0,000126979171899143;2,59356151618094e-05;FBtr0074151
3283;5239,31670407389;7568,73718091342;-0,367805776085646;-2329,42047683953;-3,55615886496156;0,000376316571858659;0,000127066888059068;2,59356151618094e-05;FBtr0074152
